Zip Code,House Price,# Bedrooms,# Bathrooms,Area in sqft,Address 1,City,State
15201,599999,3,3,2153,295 Main St,Pittsburgh,PA
15201,249500,2,2,986,5611 Celadine St,Pittsburgh,PA
15201,225000,3,1,1214,6048 Sawyer St,Pittsburgh,PA
15201,289900,3,2,1215,4741 Coleridge St,Pittsburgh,PA
15201,774900,3,3,2329,5587 Butler St #7-28,Pittsburgh,PA
15201,510000,3,3,2720,245 37th St,Pittsburgh,PA
15201,239500,4,2,1800,375 1/2 Main St,Pittsburgh,PA
15201,750000,3,4,,120 Locarna Way,Pittsburgh,PA
15201,285000,4,2,2025,235 Main St,Pittsburgh,PA
15201,474900,3,3,,315 37th St,Pittsburgh,PA
15201,559000,4,3,2200,5101 Carnegie St,Pittsburgh,PA
15201,479000,3,2,,3819 Howley St,Pittsburgh,PA
15201,715000,4,4,2800,5121 Keystone St,Pittsburgh,PA
15201,449000,3,3,1350,194 43 1/2 St,Pittsburgh,PA
15201,249900,3,1,1584,5235 Stanton Ave,Pittsburgh,PA
15201,285000,3,1,,4218 Geneva St,Pittsburgh,PA
15201,349900,3,2,1296,168 43rd St,Pittsburgh,PA
15201,350000,2,2,1170,166 38th St,Pittsburgh,PA
15201,469900,3,3,,265 Main St #2,Pittsburgh,PA
15201,289900,2,2,950,3039 Spring Way,Pittsburgh,PA
15201,254900,3,1,1800,5227 Stanton Ave,Pittsburgh,PA
15201,749900,4,4,,3439 Denny St,Pittsburgh,PA
15201,259900,1,1,695,260 42nd St #7,Pittsburgh,PA
15201,420000,3,3,1308,321 44th St,Pittsburgh,PA
15201,399000,3,3,1440,3451 Denny St,Pittsburgh,PA
15201,200000,2,1,1114,5315 Wickliff St,Pittsburgh,PA
15201,197900,4,2,1459,5317 McCandless Ave,Pittsburgh,PA
15201,395000,2,2,1320,187 42nd St,Pittsburgh,PA
15201,225000,3,1,912,337 46th St,Pittsburgh,PA
15201,849000,4,6,4000,212 38th St,Pittsburgh,PA
15201,259999,3,2,1885,5200 Duncan St,Pittsburgh,PA
15201,410000,2,3,1644,295 45th St,Pittsburgh,PA
15201,289900,2,2,950,3037 Spring Way,Pittsburgh,PA
15201,659000,3,2,1719,5267 Holmes St #305,Pittsburgh,PA
15201,319000,1,1,809,3644 Penn Ave #204,Pittsburgh,PA
15201,499999,2,3,1464,274 46th St,Pittsburgh,PA
15201,377000,3,2,1712,5147 Keystone St,Pittsburgh,PA
15201,729000,3,4,2001,5583 Butler St,Pittsburgh,PA
15201,299900,2,2,1319,5336 Dresden Way,Pittsburgh,PA
15201,339000,2,2,1403,5400 Carnegie St,Pittsburgh,PA
15201,148500,2,1,,1127 Normahill Dr,Pittsburgh,PA
15201,227000,1,1,720,113 43rd 1/2 St,Pittsburgh,PA
15201,240000,3,1,1576,150 47th St,Pittsburgh,PA
15201,259900,3,2,,5505 Camelia St,Pittsburgh,PA
15201,440000,3,2,1464,278 46th St,Pittsburgh,PA
15201,225000,1,2,,5623 Donson Way,Pittsburgh,PA
15201,299000,3,2,2033,95 McCandless Ave,Pittsburgh,PA
15201,245000,3,2,2231,6026 Sawyer St,Pittsburgh,PA
15201,189000,2,1,,5417 Carnegie St,Pittsburgh,PA
15201,399900,,,,4631 Eden Way,Pittsburgh,PA
15201,680000,,,,169 41st St,Pittsburgh,PA
15201,325000,,,,174 45th St,Pittsburgh,PA
15201,350000,3,1,1709,5224 Keystone St,Pittsburgh,PA
15201,225000,2,2,982,4926 Hatfield St,Pittsburgh,PA
15201,289900,2,2,950,3035 Spring Way,Pittsburgh,PA
15201,225000,3,2,2111,5146 Dresden Way,Pittsburgh,PA
15201,799000,3,4,2896,4604 Davison St,Pittsburgh,PA
15201,554300,2,2,1195,3725 Butler St #310,Pittsburgh,PA
15201,949000,3,4,3000,117 45th St,Pittsburgh,PA
15201,459300,1,1,1038,3725 Butler St #307,Pittsburgh,PA
15201,375000,,,,81-0081 Celadine St,Pittsburgh,PA
15201,230000,1,2,,714 Leydon St,Pittsburgh,PA
15201,799000,3,4,2896,4606 Davison St,Pittsburgh,PA
15201,819900,2,2,1772,3807 Liberty Ave #402,Pittsburgh,PA
15201,349000,,,,149 43rd St,Pittsburgh,PA
15201,349000,,,,122 43rd St,Pittsburgh,PA
15201,589800,2,3,1363,3725 Butler St #302,Pittsburgh,PA
15201,799000,3,4,2896,4602 Davison St,Pittsburgh,PA
15201,540400,2,2,1193,3725 Butler St #410,Pittsburgh,PA
15201,383400,2,2,,183 34th St,Pittsburgh,PA
15201,629000,,,,44-44 46th St #11,Pittsburgh,PA
15201,314274,1,1,722,3725 Butler St #306,Pittsburgh,PA
15201,799000,3,4,2896,4600 Davison St,Pittsburgh,PA
15201,125000,2,1,1388,701 Kendall St,Pittsburgh,PA
15201,829000,3,3,1645,3725 Butler St #506,Pittsburgh,PA
15201,140000,4,,,5259 Wickliff St,Pittsburgh,PA
15201,269950,3,2,1269,1141 Oglethorpe Ave,Pittsburgh,PA
15201,329800,,,,3807 Liberty Ave #306,Pittsburgh,PA
15201,208000,,,,5257 Wickliff St,Pittsburgh,PA
15201,249900,,,,4921 Butler St,Pittsburgh,PA
15201,259900,3,2,,5505 Camelia St,Pittsburgh,PA
15201,1400000,3,1,1485,5435 Dresden Way,Pittsburgh,PA
15201,389600,1,1,787,3725 Butler St #406,Pittsburgh,PA
15201,413000,1,1,863,3725 Butler St #308,Pittsburgh,PA
15201,59500,,,,110 57th St,Pittsburgh,PA
15201,299900,1,1,747,3807 Liberty Ave #206,Pittsburgh,PA
15201,499550,2,2,1094,3725 Butler St #206,Pittsburgh,PA
15201,235000,2,1,1530,310 54th St,Pittsburgh,PA
15201,250000,,,,41st St,Pittsburgh,PA
15201,529000,4,2,,203 57th St #1 & 2,Pittsburgh,PA
