Zip Code,House Price,# Bedrooms,# Bathrooms,Area in sqft,Address 1,City,State
15213,394900,3,3,3120,3546 Melwood Ave,Pittsburgh,PA
15213,310000,2,2,1176,825 Morewood Ave #G-12,Pittsburgh,PA
15213,299900,2,2,1176,825 Morewood Ave #G4,Pittsburgh,PA
15213,2200000,6,6,,1045 Devon Rd,Pittsburgh,PA
15213,815000,3,5,2865,4803 Ellsworth Ave,Pittsburgh,PA
15213,299900,2,3,1710,307 S Dithridge St #207,Pittsburgh,PA
15213,349000,3,3,1805,17 Hemingway St,Pittsburgh,PA
15213,3200000,4,6,5800,5023 Frew St #6BC,Pittsburgh,PA
15213,236900,3,2,1462,107 Holmes Pl,Pittsburgh,PA
15213,2990000,4,4,2500,3567 Bigelow Blvd,Pittsburgh,PA
15213,198800,3,3,1530,3764 Bigelow Blvd,Pittsburgh,PA
15213,310000,4,3,1326,592 Blessing St,Pittsburgh,PA
15213,98500,2,2,940,4625 5th Ave #303,Pittsburgh,PA
15213,995000,3,5,,4919 Centre Ave,Pittsburgh,PA
15213,360000,2,3,1710,307 S Dithridge St #406,Pittsburgh,PA
15213,239900,4,2,1613,45 Lawn St,Pittsburgh,PA
15213,172500,3,2,1200,4625 5th Ave #400,Pittsburgh,PA
15213,380000,3,2,1818,3229 Parkview Ave,Pittsburgh,PA
15213,150000,3,2,1246,2534 Allequippa St,Pittsburgh,PA
15213,199500,3,2,,4601 5th Ave #120,Oakland,PA
15213,195000,2,2,1025,4625 5th Ave #812,Pittsburgh,PA
15213,535000,2,2,1900,5023 Frew St #4D,Pittsburgh,PA
15213,138000,2,1,1090,4601 5th Ave #830,Oakland,PA
15213,545000,,,,3718 Dawson St,Pittsburgh,PA
15213,599900,2,3,1920,4700 Ellsworth Ave #7,Pittsburgh,PA
15213,350000,,,,3301 Juliet St,Pittsburgh,PA
15213,175000,3,2,,4601 5th Ave #620,Pittsburgh,PA
15213,560000,,,,11 Oakland Sq,Pittsburgh,PA
15213,270000,3,2,1511,5 Bayard Rd #912,Pittsburgh,PA
15213,239000,2,2,,154 N Bellefield Ave #46,Pittsburgh,PA
15213,115000,3,1,1000,4625 5th Ave #706,Pittsburgh,PA
