Zip Code,School,Math Proficiency,Reading Proficiency,Grades,Location,Distance,Students,Telephone,Details
15201,Pittsburgh Arsenal 6-8,27.0,47.0,6~8,"220 40th Street Pittsburgh, PA 15201",0,187,(412) 529-5740,https://www.publicschoolreview.com//pittsburgh-arsenal-6-8-profile
15201,Pittsburgh Arsenal K-5,27.0,27.0,PK~5,"215 39th St Pittsburgh, PA 15201",0,266,(412) 529-5307,https://www.publicschoolreview.com//pittsburgh-arsenal-k-5-profile
15201,Pittsburgh Sunnyside K-8,32.0,62.0,PK~8,"4801 Stanton Avenue Pittsburgh, PA 15201",0,252,(412) 529-2040,https://www.publicschoolreview.com//pittsburgh-sunnyside-k-8-profile
15201,Pittsburgh Woolslair K-5,27.0,52.0,K~5,"501 40th St Pittsburgh, PA 15224",0.7,208,(412) 529-8800,https://www.publicschoolreview.com//pittsburgh-woolslair-k-5-profile
15201,Pittsburgh Montessori K-5,57.0,72.0,PK~5,"201 S Graham St Pittsburgh, PA 15206",1.1,295,(412) 529-2010,https://www.publicschoolreview.com//pittsburgh-montessori-k-5-profile
15201,Urban Academy Of Greater Pittsburgh Charter School,32.0,42.0,K~5,"437 Turret Street Pittsburgh, PA 15206",1.3,276,(412) 361-1008,https://www.publicschoolreview.com//urban-academy-of-greater-pittsburgh-charter-school-profile
15201,Reserve Primary School,54.5,84.5,K~3,"2107 Lonsdale St Pittsburgh, PA 15212",1.5,163,(412) 492-1200,https://www.publicschoolreview.com//reserve-primary-school-profile
15201,Pittsburgh Fulton K-5,47.0,62.0,PK~5,"5799 Hampton St Pittsburgh, PA 15206",1.6,335,(412) 529-4600,https://www.publicschoolreview.com//pittsburgh-fulton-k-5-profile
15201,Pittsburgh Liberty K-5,32.0,52.0,K~5,"601 Filbert St Pittsburgh, PA 15232",1.6,408,(412) 529-8450,https://www.publicschoolreview.com//pittsburgh-liberty-k-5-profile
15201,Pittsburgh Milliones 6-12,12.0,22.0,6~12,"3117 Centre Ave Pittsburgh, PA 15219",1.7,384,(412) 529-5900,https://www.publicschoolreview.com//pittsburgh-milliones-6-12-profile
15201,Pittsburgh Spring Garden Early Childhood,32.9,48.2,PK,"1501 Spring Garden Ave Pittsburgh, PA 15212",1.8,1,(412) 325-4591,https://www.publicschoolreview.com//pittsburgh-spring-garden-early-childhood-profile
