Zip Code,School,Math Proficiency,Reading Proficiency,Grades,Location,Distance,Students,Telephone,Details
15213,Pittsburgh Science And Technology Academ,58,77,6~12,"107 Thackeray St Pittsburgh, PA 15213",0,537,(412) 529-7620,https://www.publicschoolreview.com//pittsburgh-science-and-technology-academ-profile
15213,Pittsburgh Milliones 6-12,12,22,6~12,"3117 Centre Ave Pittsburgh, PA 15219",0.5,384,(412) 529-5900,https://www.publicschoolreview.com//pittsburgh-milliones-6-12-profile
15213,Pittsburgh Weil K-8,17,27,PK~5,"2250 Centre Ave Pittsburgh, PA 15219",1.1,188,(412) 529-3840,https://www.publicschoolreview.com//pittsburgh-weil-k-8-profile
15213,Pittsburgh Greenfield K-8,46,69,PK~8,"1 Alger St Pittsburgh, PA 15207",1.3,382,(412) 529-3535,https://www.publicschoolreview.com//pittsburgh-greenfield-k-8-profile
15213,Pittsburgh Liberty K-5,32,52,K~5,"601 Filbert St Pittsburgh, PA 15232",1.3,408,(412) 529-8450,https://www.publicschoolreview.com//pittsburgh-liberty-k-5-profile
15213,Pittsburgh Woolslair K-5,27,52,K~5,"501 40th St Pittsburgh, PA 15224",1.4,208,(412) 529-8800,https://www.publicschoolreview.com//pittsburgh-woolslair-k-5-profile
15213,Hill House Passport Academy Charter School,10,10,9~12,"510 Heldman Street Pittsburgh, PA 15219",1.5,136,(412) 376-3724,https://www.publicschoolreview.com//hill-house-passport-academy-charter-school-profile
15213,Pittsburgh Miller K-5,7.5,12,PK~5,"2055 Bedford Ave Pittsburgh, PA 15219",1.5,212,(412) 529-3830,https://www.publicschoolreview.com//pittsburgh-miller-k-5-profile
15213,Propel Cs - Hazelwood,5,27,K~8,"5401 Glenwood Avenue Pittsburgh, PA 15208",1.6,297,(412) 325-7305,https://www.publicschoolreview.com//propel-cs-hazelwood-profile
15213,Pittsburgh Arsenal K-5,27,27,PK~5,"215 39th St Pittsburgh, PA 15201",1.7,266,(412) 529-5307,https://www.publicschoolreview.com//pittsburgh-arsenal-k-5-profile
15213,Pittsburgh Phillips K-5,32,52,K~5,"1901 Sarah St Pittsburgh, PA 15203",1.7,291,(412) 529-5190,https://www.publicschoolreview.com//pittsburgh-phillips-k-5-profile
15213,Pittsburgh Arsenal 6-8,27,47,6~8,"220 40th Street Pittsburgh, PA 15201",1.8,187,(412) 529-5740,https://www.publicschoolreview.com//pittsburgh-arsenal-6-8-profile
15213,Pittsburgh Montessori K-5,57,72,PK~5,"201 S Graham St Pittsburgh, PA 15206",1.8,295,(412) 529-2010,https://www.publicschoolreview.com//pittsburgh-montessori-k-5-profile
15213,Pittsburgh Allderdice High School,63,70,9~12,"2409 Shady Ave Pittsburgh, PA 15217",2,"1,483",(412) 529-4800,https://www.publicschoolreview.com//pittsburgh-allderdice-high-school-profile
